Meter No.,Data Start Time,Data End Time,Active energy import A+(1.8.0)
21102097598,2023-05-21 23:45:00,2023-05-22 00:00:00,0.229
21102097598,2023-05-21 23:30:00,2023-05-21 23:45:00,0.234
21102097598,2023-05-21 23:15:00,2023-05-21 23:30:00,0.235
21102097598,2023-05-21 23:00:00,2023-05-21 23:15:00,0.231
21102097598,2023-05-21 22:45:00,2023-05-21 23:00:00,0.231
21102097598,2023-05-21 22:30:00,2023-05-21 22:45:00,0.239
21102097598,2023-05-21 22:15:00,2023-05-21 22:30:00,0.237
21102097598,2023-05-21 22:00:00,2023-05-21 22:15:00,0.242
21102097598,2023-05-21 21:45:00,2023-05-21 22:00:00,0.213
21102097598,2023-05-21 21:30:00,2023-05-21 21:45:00,0.222
21102097598,2023-05-21 21:15:00,2023-05-21 21:30:00,0.242
21102097598,2023-05-21 21:00:00,2023-05-21 21:15:00,0.241
21102097598,2023-05-21 20:45:00,2023-05-21 21:00:00,0.213
21102097598,2023-05-21 20:30:00,2023-05-21 20:45:00,0.204
21102097598,2023-05-21 20:15:00,2023-05-21 20:30:00,0.222
21102097598,2023-05-21 20:00:00,2023-05-21 20:15:00,0.183
21102097598,2023-05-21 19:45:00,2023-05-21 20:00:00,0.164
21102097598,2023-05-21 19:30:00,2023-05-21 19:45:00,0.115
21102097598,2023-05-21 19:15:00,2023-05-21 19:30:00,0.119
21102097598,2023-05-21 19:00:00,2023-05-21 19:15:00,0.077
21102097598,2023-05-21 18:45:00,2023-05-21 19:00:00,0.05
21102097598,2023-05-21 18:30:00,2023-05-21 18:45:00,0.001
21102097598,2023-05-21 18:15:00,2023-05-21 18:30:00,0.008
21102097598,2023-05-21 18:00:00,2023-05-21 18:15:00,0.0
21102097598,2023-05-21 17:45:00,2023-05-21 18:00:00,0.002
21102097598,2023-05-21 17:30:00,2023-05-21 17:45:00,0.0
21102097598,2023-05-21 17:15:00,2023-05-21 17:30:00,0.001
21102097598,2023-05-21 17:00:00,2023-05-21 17:15:00,0.0
21102097598,2023-05-21 16:45:00,2023-05-21 17:00:00,0.0
21102097598,2023-05-21 16:30:00,2023-05-21 16:45:00,0.0
21102097598,2023-05-21 16:15:00,2023-05-21 16:30:00,0.0
21102097598,2023-05-21 16:00:00,2023-05-21 16:15:00,0.0
21102097598,2023-05-21 15:45:00,2023-05-21 16:00:00,0.0
21102097598,2023-05-21 15:30:00,2023-05-21 15:45:00,0.009
21102097598,2023-05-21 15:15:00,2023-05-21 15:30:00,0.0
21102097598,2023-05-21 15:00:00,2023-05-21 15:15:00,0.128
21102097598,2023-05-21 14:45:00,2023-05-21 15:00:00,0.162
21102097598,2023-05-21 14:30:00,2023-05-21 14:45:00,0.0
21102097598,2023-05-21 14:15:00,2023-05-21 14:30:00,0.054
21102097598,2023-05-21 14:00:00,2023-05-21 14:15:00,0.224
21102097598,2023-05-21 13:45:00,2023-05-21 14:00:00,0.0
21102097598,2023-05-21 13:30:00,2023-05-21 13:45:00,0.048
21102097598,2023-05-21 13:15:00,2023-05-21 13:30:00,0.054
21102097598,2023-05-21 13:00:00,2023-05-21 13:15:00,0.094
21102097598,2023-05-21 12:45:00,2023-05-21 13:00:00,0.11
21102097598,2023-05-21 12:30:00,2023-05-21 12:45:00,0.016
21102097598,2023-05-21 12:15:00,2023-05-21 12:30:00,0.0
21102097598,2023-05-21 12:00:00,2023-05-21 12:15:00,0.001
